05-18-2026 02:34:43 RAM 3708/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [43%@729,36%@729,36%@729,46%@729,37%@729,39%@729] GR3D_FREQ 99% cpu@44.312C soc2@43.093C soc0@44C gpu@44.687C tj@44.687C soc1@44.25C VDD_IN 8226mW/7552mW VDD_CPU_GPU_CV 2866mW/2473mW VDD_SOC 1916mW/1805mW
05-18-2026 02:34:44 RAM 3707/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [38%@729,36%@729,40%@729,31%@729,38%@729,35%@729] GR3D_FREQ 11% cpu@44.218C soc2@42.937C soc0@43.937C gpu@44.687C tj@44.687C soc1@44.156C VDD_IN 7947mW/7560mW VDD_CPU_GPU_CV 2706mW/2478mW VDD_SOC 1876mW/1806mW
05-18-2026 02:34:45 RAM 3707/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [39%@729,33%@729,45%@729,30%@729,33%@729,32%@729] GR3D_FREQ 99% cpu@44.25C soc2@43.156C soc0@44.125C gpu@44.781C tj@44.781C soc1@44.25C VDD_IN 7907mW/7566mW VDD_CPU_GPU_CV 2631mW/2481mW VDD_SOC 1876mW/1808mW
05-18-2026 02:34:46 RAM 3714/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [40%@806,35%@806,32%@806,34%@806,34%@729,33%@729] GR3D_FREQ 98% cpu@44.375C soc2@43.062C soc0@44.093C gpu@45.031C tj@45.031C soc1@44.25C VDD_IN 7827mW/7571mW VDD_CPU_GPU_CV 2631mW/2483mW VDD_SOC 1876mW/1809mW
05-18-2026 02:34:47 RAM 3713/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [32%@729,40%@729,33%@729,36%@729,39%@729,38%@729] GR3D_FREQ 95% cpu@44.281C soc2@43.187C soc0@44.031C gpu@45.031C tj@45.031C soc1@44.5C VDD_IN 8226mW/7583mW VDD_CPU_GPU_CV 2866mW/2490mW VDD_SOC 1916mW/1811mW
05-18-2026 02:34:48 RAM 3711/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [41%@729,42%@729,37%@729,38%@729,46%@729,44%@729] GR3D_FREQ 74% cpu@44.5C soc2@43.218C soc0@44.187C gpu@44.937C tj@44.937C soc1@44.281C VDD_IN 8266mW/7595mW VDD_CPU_GPU_CV 2905mW/2498mW VDD_SOC 1916mW/1813mW
05-18-2026 02:34:49 RAM 3711/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [40%@729,38%@729,36%@729,41%@729,41%@883,36%@883] GR3D_FREQ 24% cpu@44.468C soc2@43.156C soc0@44.156C gpu@44.906C tj@44.906C soc1@44.437C VDD_IN 7907mW/7601mW VDD_CPU_GPU_CV 2706mW/2501mW VDD_SOC 1876mW/1814mW
05-18-2026 02:34:50 RAM 3713/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [42%@806,46%@806,40%@806,37%@806,42%@729,39%@729] GR3D_FREQ 28% cpu@44.468C soc2@43.218C soc0@44.281C gpu@45.031C tj@45.031C soc1@44.593C VDD_IN 8226mW/7611mW VDD_CPU_GPU_CV 2866mW/2508mW VDD_SOC 1916mW/1816mW
05-18-2026 02:34:51 RAM 3713/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [44%@883,42%@883,40%@883,38%@883,41%@729,34%@729] GR3D_FREQ 42% cpu@44.656C soc2@43.281C soc0@44.281C gpu@45.281C tj@45.281C soc1@44.687C VDD_IN 8107mW/7620mW VDD_CPU_GPU_CV 2746mW/2512mW VDD_SOC 1916mW/1817mW
05-18-2026 02:34:52 RAM 3711/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [41%@729,44%@729,38%@729,37%@729,34%@729,35%@729] GR3D_FREQ 29% cpu@44.656C soc2@43.375C soc0@44.343C gpu@45.531C tj@45.531C soc1@44.593C VDD_IN 8266mW/7630mW VDD_CPU_GPU_CV 2985mW/2520mW VDD_SOC 1916mW/1819mW
